0.010   -2      0.5     -3      0.5
0.250   1       0.5      1      0.5
0.501   3       0.5      3      0.5
0.750   5       1       3.5     1  
1.000   6       1       7       1
1.250   7.5     1       7       1
1.501   8.5     1       9.5     1.5
1.75    13      1       11.5    1
2.001   12.5    1       13      1
2.250   16.5    1       16      1
2.401   15.5    1       16      1
2.500   17.5    1       16.5    1
2.600   16      0.5     17.5    1
2.700   18      1       18.5    1
2.800   18      1       20      1
2.900   19      0.5     21      1       
3.00    20      0.5     26      0.5     
3.022   21      0.5     27      0.5 
